YEAR,FIPS,PART,IDNO,FIPS_ST,FIPS_CTY,CPOPARST,CPOPCRIM,AG_ARRST,AG_OFF,COVIND,VIOL,PROPERTY,MURDER,RAPE,ROBBERY,AGASSLT,BURGLRY,LARCENY,MVTHEFT,ARSON
2014,"Anne Arundel County, Maryland",4,1205,24,3,561031,561031,6,6,100,2425,13504,14,95,637,1679,2153,10648,703,59
2014,"Calvert County, Maryland",4,1207,24,9,91047,91047,2,2,100,132,1539,0,1,30,100,347,1148,43,5
2014,"Howard County, Maryland",4,1216,24,27,309341,309341,3,3,100,617,5745,5,40,203,369,869,4644,231,49
2014,"Montgomery County, Maryland",4,1218,24,31,1029182,1029182,6,6,100,1747,16789,18,125,667,937,2444,13591,755,36
2014,"Prince George's County, Maryland",4,1219,24,33,898019,898019,30,30,100,4136,26588,56,206,1851,2023,4768,17540,4279,162
2014,"District of Columbia, District of Columbia",4,325,11,1,658893,658893,3,2,100,8199,34147,105,472,3497,4125,3466,26898,3783,3
2014,"Alameda County, California",4,188,6,1,1604587,1604587,26,22,100,10356,57620,102,423,5039,4792,9833,35110,12677,326
2014,"Contra Costa County, California",4,194,6,13,1111006,1111006,30,26,100,3650,32232,47,236,1456,1911,6949,18715,6568,153
2014,"Marin County, California",4,208,6,41,261200,261200,15,14,100,454,4565,5,40,111,298,1072,2952,541,50
2014,"San Francisco County, California",4,225,6,75,850294,850294,12,7,100,6822,45936,45,356,3259,3162,5309,34462,6165,242
2014,"San Mateo County, California",4,228,6,81,758655,758655,22,21,100,1561,14186,11,222,487,841,3113,9390,1683,79
2014,"Santa Clara County, California",4,230,6,85,1891922,1891922,27,23,100,4676,43084,40,474,1544,2618,8891,24437,9756,230
2013,"Anne Arundel County, Maryland",4,1205,24,3,555330,555330,6,6,92.2466,2778,14480,14,72,607,2085,2564,11237,678,78
2013,"Calvert County, Maryland",4,1207,24,9,90031,90031,2,2,100,107,1639,4,14,27,62,381,1194,64,12
2013,"Howard County, Maryland",4,1216,24,27,303727,303727,3,3,100,626,6140,5,40,204,376,1033,4853,254,52
2013,"Montgomery County, Maryland",4,1218,24,31,1016455,1016455,6,6,100,1772,16316,9,136,813,814,2732,12671,913,124
2013,"Prince George's County, Maryland",4,1219,24,33,888070,888070,30,30,100,4496,28608,56,176,2013,2252,5737,18578,4293,152
2013,"District of Columbia, District of Columbia",4,325,11,1,646449,646449,2,1,100,8415,31097,103,395,4082,3835,3316,24547,3234,2
2013,"Alameda County, California",4,188,6,1,1570821,1570821,26,22,100,11739,60133,113,362,6806,4458,11718,34822,13593,310
