NAME,YEAR,Total Industry,"Agriculture, forestry, fishing and hunting, and mining",Construction,Manufacturing,Wholesale trade,Retail trade,"Transportation and warehousing, and utilities",Information,"Finance and insurance, and real estate and rental and leasing","Professional, scientific, and management, and administrative and waste management services","Educational services, and health care and social assistance","Arts, entertainment, and recreation, and accommodation and food services","Other services, except public administration",Public administration
"Anne Arundel County, Maryland",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Howard County, Maryland",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Prince George's County, Maryland",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Montgomery County, Maryland",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"District of Columbia, District of Columbia",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Calvert County, Maryland",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Marin County, California",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Francisco County, California",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"San Mateo County, California",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Alameda County, California",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Contra Costa County, California",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Santa Clara County, California",2000,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Anne Arundel County, Maryland",2010,271502,725,18854,17226,7482,30011,11091,6267,17671,38785,52913,19627,14008,36842
"Howard County, Maryland",2010,153643,581,7973,6895,4075,12861,4484,3985,10314,32194,33287,10716,5860,20418
"Prince George's County, Maryland",2010,447846,1042,33692,12940,4560,37601,24149,9807,22175,68340,98554,38259,28016,68711
"Montgomery County, Maryland",2010,523864,999,30963,15790,6021,41531,10476,16346,32943,111816,114768,45371,36984,59856
"District of Columbia, District of Columbia",2010,299127,174,8866,3113,2717,15923,11159,11748,15640,66452,55973,26169,26834,54359
"Calvert County, Maryland",2010,45769,52,4464,1978,1121,4654,2296,549,1920,4432,10511,3875,2508,7409
"Marin County, California",2010,119487,640,6769,6563,3006,12192,3051,3248,12374,22050,27193,11701,6654,4046
"San Francisco County, California",2010,446665,1130,16023,29079,10024,42315,15012,17971,38414,89930,88869,54107,25468,18323
"San Mateo County, California",2010,362295,2788,21010,26993,9701,33553,20839,10566,29568,59578,79507,33464,20337,14391
"Alameda County, California",2010,699389,1936,36459,74342,23531,71978,37659,21330,40478,113728,157244,56708,35947,28049
"Contra Costa County, California",2010,480363,3392,31364,37735,13364,49304,26338,16307,44089,66688,106913,38828,26126,19915
"Santa Clara County, California",2010,834009,5591,42199,156189,18133,88192,20789,30861,41459,153969,160641,57324,37362,21300
"Anne Arundel County, Maryland",2011,279548,189,21763,14344,9195,27756,10383,6418,15995,43083,55704,22404,14919,37395
"Howard County, Maryland",2011,157085,624,8726,9762,3237,12431,5864,3674,10601,29543,36976,9309,7086,19252
"Prince George's County, Maryland",2011,452847,1051,30814,12418,5776,41596,26169,11881,20279,65785,97395,39719,29921,70043
"Montgomery County, Maryland",2011,523712,835,32110,15088,6892,37807,12886,15943,38178,113508,110280,41021,36703,62461
"District of Columbia, District of Columbia",2011,310607,108,10818,3689,1736,14239,11208,12933,18262,64799,62135,26050,28427,56203
"Calvert County, Maryland",2011,46062,16,5218,1637,1100,5589,2347,1232,2125,6142,8450,3243,2477,6486
"Marin County, California",2011,122937,1206,6668,5953,2692,13948,2698,4943,11513,21277,29345,11032,7445,4217
"San Francisco County, California",2011,450686,660,16200,26989,8446,49862,16775,19170,36213,94787,83822,58235,25360,14167
"San Mateo County, California",2011,364747,3209,20638,28337,8412,34607,17831,9630,28715,67110,80829,34173,17649,13607
"Alameda County, California",2011,723858,2772,35871,83672,18509,71929,39524,21455,45204,111334,162364,68460,37458,25306
"Contra Costa County, California",2011,481728,3172,34169,29192,9847,50819,22740,13989,45291,79772,107824,37385,23834,23694
"Santa Clara County, California",2011,858963,4348,45681,168251,19732,84606,24929,28192,40989,161171,156752,66300,37164,20848
"Anne Arundel County, Maryland",2012,281026,1195,19165,16360,7412,31016,12908,6609,16913,43174,56004,20421,13016,36833
"Howard County, Maryland",2012,162514,197,7665,8188,4645,15255,5738,3978,13039,31028,38310,8164,6497,19810
"Prince George's County, Maryland",2012,458339,885,35069,10896,6017,41805,24989,10641,22864,75944,102001,37124,25732,64372
"Montgomery County, Maryland",2012,530886,967,30055,17073,5383,39761,13390,17633,34604,115538,114481,44970,37928,59103
"District of Columbia, District of Columbia",2012,326957,208,10668,4116,1641,15412,10682,14367,16628,70682,66389,32087,30264,53813
"Calvert County, Maryland",2012,44355,419,4723,1688,715,4263,2790,857,2146,5495,8400,4463,1433,6963
"Marin County, California",2012,128037,980,5777,5673,2406,14282,2764,3473,12704,26469,26428,13843,9212,4026
"San Francisco County, California",2012,457285,632,14763,24733,6811,45543,15866,24667,42937,98623,85534,58740,23160,15276
"San Mateo County, California",2012,379197,1767,21287,27785,8788,36990,19160,12991,26929,66453,83940,37845,22543,12719
