NAME,YEAR,industry_name,industry_values,
"Anne Arundel County, Maryland",2010,"Agriculture, forestry, fishing and hunting, and mining",725,
"Howard County, Maryland",2010,"Agriculture, forestry, fishing and hunting, and mining",581,
"Prince George's County, Maryland",2010,"Agriculture, forestry, fishing and hunting, and mining",1042,
"Montgomery County, Maryland",2010,"Agriculture, forestry, fishing and hunting, and mining",999,
"District of Columbia, District of Columbia",2010,"Agriculture, forestry, fishing and hunting, and mining",174,
"Calvert County, Maryland",2010,"Agriculture, forestry, fishing and hunting, and mining",52,
"Marin County, California",2010,"Agriculture, forestry, fishing and hunting, and mining",640,
"San Francisco County, California",2010,"Agriculture, forestry, fishing and hunting, and mining",1130,
"San Mateo County, California",2010,"Agriculture, forestry, fishing and hunting, and mining",2788,
"Alameda County, California",2010,"Agriculture, forestry, fishing and hunting, and mining",1936,
"Contra Costa County, California",2010,"Agriculture, forestry, fishing and hunting, and mining",3392,
"Santa Clara County, California",2010,"Agriculture, forestry, fishing and hunting, and mining",5591,
"Anne Arundel County, Maryland",2010,Construction,18854,
"Howard County, Maryland",2010,Construction,7973,
"Prince George's County, Maryland",2010,Construction,33692,
"Montgomery County, Maryland",2010,Construction,30963,
"District of Columbia, District of Columbia",2010,Construction,8866,
"Calvert County, Maryland",2010,Construction,4464,
"Marin County, California",2010,Construction,6769,
"San Francisco County, California",2010,Construction,16023,
"San Mateo County, California",2010,Construction,21010,
"Alameda County, California",2010,Construction,36459,
"Contra Costa County, California",2010,Construction,31364,
"Santa Clara County, California",2010,Construction,42199,
"Anne Arundel County, Maryland",2010,Manufacturing,17226,
"Howard County, Maryland",2010,Manufacturing,6895,
"Prince George's County, Maryland",2010,Manufacturing,12940,
"Montgomery County, Maryland",2010,Manufacturing,15790,
"District of Columbia, District of Columbia",2010,Manufacturing,3113,
"Calvert County, Maryland",2010,Manufacturing,1978,
"Marin County, California",2010,Manufacturing,6563,
"San Francisco County, California",2010,Manufacturing,29079,
"San Mateo County, California",2010,Manufacturing,26993,
"Alameda County, California",2010,Manufacturing,74342,
"Contra Costa County, California",2010,Manufacturing,37735,
"Santa Clara County, California",2010,Manufacturing,156189,
"Anne Arundel County, Maryland",2010,Wholesale trade,7482,
"Howard County, Maryland",2010,Wholesale trade,4075,
"Prince George's County, Maryland",2010,Wholesale trade,4560,
"Montgomery County, Maryland",2010,Wholesale trade,6021,
"District of Columbia, District of Columbia",2010,Wholesale trade,2717,
"Calvert County, Maryland",2010,Wholesale trade,1121,
"Marin County, California",2010,Wholesale trade,3006,
"San Francisco County, California",2010,Wholesale trade,10024,
"San Mateo County, California",2010,Wholesale trade,9701,
"Alameda County, California",2010,Wholesale trade,23531,
"Contra Costa County, California",2010,Wholesale trade,13364,
"Santa Clara County, California",2010,Wholesale trade,18133,
"Anne Arundel County, Maryland",2010,Retail trade,30011,
"Howard County, Maryland",2010,Retail trade,12861,
"Prince George's County, Maryland",2010,Retail trade,37601,
"Montgomery County, Maryland",2010,Retail trade,41531,
"District of Columbia, District of Columbia",2010,Retail trade,15923,
"Calvert County, Maryland",2010,Retail trade,4654,
"Marin County, California",2010,Retail trade,12192,
"San Francisco County, California",2010,Retail trade,42315,
"San Mateo County, California",2010,Retail trade,33553,
"Alameda County, California",2010,Retail trade,71978,
"Contra Costa County, California",2010,Retail trade,49304,
"Santa Clara County, California",2010,Retail trade,88192,
"Anne Arundel County, Maryland",2010,"Transportation and warehousing, and utilities",11091,
"Howard County, Maryland",2010,"Transportation and warehousing, and utilities",4484,
"Prince George's County, Maryland",2010,"Transportation and warehousing, and utilities",24149,
"Montgomery County, Maryland",2010,"Transportation and warehousing, and utilities",10476,
"District of Columbia, District of Columbia",2010,"Transportation and warehousing, and utilities",11159,
"Calvert County, Maryland",2010,"Transportation and warehousing, and utilities",2296,
"Marin County, California",2010,"Transportation and warehousing, and utilities",3051,
"San Francisco County, California",2010,"Transportation and warehousing, and utilities",15012,
"San Mateo County, California",2010,"Transportation and warehousing, and utilities",20839,
