Name,Year,Total,In households,In group quarters,,,,
"Alameda County, California",2000,1443741,1416006,27735,,,,
"Alameda County, California",2010,1510271,1472829,37442,,,,
"Alameda County, California",2011,1529875,1498479,31396,,,,
"Alameda County, California",2012,1554720,1520267,34453,,,,
"Alameda County, California",2013,1578891,1545065,33826,,,,
"Alameda County, California",2014,1610921,1577190,33731,,,,
"Anne Arundel County, Maryland",2000,489656,473666,15990,,,,
"Anne Arundel County, Maryland",2010,537656,523523,14133,,,,
"Anne Arundel County, Maryland",2011,544403,529357,15046,,,,
"Anne Arundel County, Maryland",2012,550488,535638,14850,,,,
"Anne Arundel County, Maryland",2013,555743,540571,15172,,,,
"Anne Arundel County, Maryland",2014,560133,545222,14911,,,,
"Calvert County, Maryland",2000,74563,73982,581,,,,
"Calvert County, Maryland",2010,88737,88087,650,,,,
"Calvert County, Maryland",2011,89256,88614,642,,,,
"Calvert County, Maryland",2012,89628,88967,661,,,,
"Calvert County, Maryland",2013,90484,89808,676,,,,
"Calvert County, Maryland",2014,90613,89928,685,,,,
"Contra Costa County, California",2000,948816,937479,11337,,,,
"Contra Costa County, California",2010,1049025,1038711,10314,,,,
"Contra Costa County, California",2011,1066096,1055785,10311,,,,
"Contra Costa County, California",2012,1079597,1069034,10563,,,,
"Contra Costa County, California",2013,1094205,1083629,10576,,,,
"Contra Costa County, California",2014,1111339,1100985,10354,,,,
"District of Columbia, District of Columbia",2000,572059,536497,35562,,,,
"District of Columbia, District of Columbia",2010,601723,561702,40021,,,,
"District of Columbia, District of Columbia",2011,617996,577940,40056,,,,
"District of Columbia, District of Columbia",2012,632323,592131,40192,,,,
"District of Columbia, District of Columbia",2013,646449,606151,40298,,,,
"District of Columbia, District of Columbia",2014,658893,618600,40293,,,,
"Howard County, Maryland",2000,247842,244224,3618,,,,
"Howard County, Maryland",2010,287085,284763,2322,,,,
"Howard County, Maryland",2011,293142,291118,2024,,,,
"Howard County, Maryland",2012,299430,297467,1963,,,,
"Howard County, Maryland",2013,304580,302658,1922,,,,
"Howard County, Maryland",2014,309284,307352,1932,,,,
"Marin County, California",2000,247289,235803,11486,,,,
"Marin County, California",2010,252409,243365,9044,,,,
"Marin County, California",2011,255031,245183,9848,,,,
"Marin County, California",2012,256069,248143,7926,,,,
"Marin County, California",2013,258365,251046,7319,,,,
"Marin County, California",2014,260750,253277,7473,,,,
"Montgomery County, Maryland",2000,873341,863910,9431,,,,
"Montgomery County, Maryland",2010,971777,962877,8900,,,,
"Montgomery County, Maryland",2011,989794,981053,8741,,,,
"Montgomery County, Maryland",2012,1004709,995788,8921,,,,
"Montgomery County, Maryland",2013,1016677,1007872,8805,,,,
"Montgomery County, Maryland",2014,1030447,1021621,8826,,,,
"Prince George's County, Maryland",2000,801515,784158,17357,,,,
"Prince George's County, Maryland",2010,863420,844092,19328,,,,
"Prince George's County, Maryland",2011,871233,850872,20361,,,,
"Prince George's County, Maryland",2012,881138,861526,19612,,,,
"Prince George's County, Maryland",2013,890081,871158,18923,,,,
"Prince George's County, Maryland",2014,904430,885014,19416,,,,
"San Francisco County, California",2000,776733,756976,19757,,,,
"San Francisco County, California",2010,805235,780971,24264,,,,
"San Francisco County, California",2011,812826,793288,19538,,,,
"San Francisco County, California",2012,825863,806064,19799,,,,
"San Francisco County, California",2013,837442,817633,19809,,,,
"San Francisco County, California",2014,852469,831894,20575,,,,
"San Mateo County, California",2000,707161,696711,10450,,,,
"San Mateo County, California",2010,718451,709598,8853,,,,
"San Mateo County, California",2011,727209,717816,9393,,,,
"San Mateo County, California",2012,739311,729645,9666,,,,
"San Mateo County, California",2013,747373,737239,10134,,,,
"San Mateo County, California",2014,758581,748932,9649,,,,
"Santa Clara County, California",2000,1682585,1652871,29714,,,,
"Santa Clara County, California",2010,1781642,1751292,30350,,,,
"Santa Clara County, California",2011,1809378,1777607,31771,,,,
"Santa Clara County, California",2012,1837504,1805051,32453,,,,
"Santa Clara County, California",2013,1862041,1828854,33187,,,,
"Santa Clara County, California",2014,1894605,1860120,34485,,,,
