YEAR,NAME,Total-Veteran-table,Veteran,Veteran: In labor force,Veteran: In labor force: Employed,Veteran: In labor force: Unemployed,Veteran: Not in labor force,Nonveteran,Nonveteran: In labor force,Nonveteran: In labor force: Employed,Nonveteran: In labor force: Unemployed,Nonveteran: Not in labor force
2000,"Anne Arundel County, Maryland",0,0,0,0,0,0,0,0,0,0,0
2000,"Howard County, Maryland",0,0,0,0,0,0,0,0,0,0,0
2000,"Prince George's County, Maryland",0,0,0,0,0,0,0,0,0,0,0
2000,"Montgomery County, Maryland",0,0,0,0,0,0,0,0,0,0,0
2000,"District of Columbia, District of Columbia",0,0,0,0,0,0,0,0,0,0,0
2000,"Calvert County, Maryland",0,0,0,0,0,0,0,0,0,0,0
2000,"Marin County, California",0,0,0,0,0,0,0,0,0,0,0
2000,"San Francisco County, California",0,0,0,0,0,0,0,0,0,0,0
2000,"San Mateo County, California",0,0,0,0,0,0,0,0,0,0,0
2000,"Alameda County, California",0,0,0,0,0,0,0,0,0,0,0
2000,"Contra Costa County, California",0,0,0,0,0,0,0,0,0,0,0
2000,"Santa Clara County, California",0,0,0,0,0,0,0,0,0,0,0
2010,"Anne Arundel County, Maryland",339032,36848,31554,29746,1808,5294,302184,245773,226369,19404,56411
2010,"Howard County, Maryland",183469,13426,11804,11409,395,1622,170043,140284,133209,7075,29759
2010,"Prince George's County, Maryland",573922,42777,36502,34335,2167,6275,531145,439672,393018,46654,91473
2010,"Montgomery County, Maryland",618082,26048,23490,22354,1136,2558,592034,503563,468363,35200,88471
2010,"District of Columbia, District of Columbia",430927,18260,13877,12644,1233,4383,412667,310462,271029,39433,102205
2010,"Calvert County, Maryland",55434,6696,5202,4781,421,1494,48738,40992,37916,3076,7746
2010,"Marin County, California",157481,6581,4757,4520,237,1824,150900,116169,104661,11508,34731
2010,"San Francisco County, California",587537,16757,11946,10931,1015,4811,570780,461148,419632,41516,109632
2010,"San Mateo County, California",463556,13667,11219,9930,1289,2448,449889,367380,335549,31831,82509
2010,"Alameda County, California",1003179,37738,28627,25650,2977,9111,965441,732394,644451,87943,233047
2010,"Contra Costa County, California",660182,32178,25286,22764,2522,6892,628004,492244,434105,58139,135760
2010,"Santa Clara County, California",1159082,36704,28548,24984,3564,8156,1122378,873138,776346,96792,249240
2011,"Anne Arundel County, Maryland",343648,41831,34588,33736,852,7243,301817,246982,229629,17353,54835
2011,"Howard County, Maryland",186853,10378,9368,9099,269,1010,176475,148086,138995,9091,28389
2011,"Prince George's County, Maryland",578344,39592,33396,30376,3020,6196,538752,443264,400368,42896,95488
2011,"Montgomery County, Maryland",626255,25611,22175,21021,1154,3436,600644,499852,470019,29833,100792
2011,"District of Columbia, District of Columbia",440545,17433,13182,11142,2040,4251,423112,321021,284660,36361,102091
2011,"Calvert County, Maryland",55311,7191,5430,5300,130,1761,48120,40533,37473,3060,7587
2011,"Marin County, California",158323,6147,3953,3234,719,2194,152176,118421,108662,9759,33755
2011,"San Francisco County, California",590977,12794,8949,8180,769,3845,578183,461227,426687,34540,116956
2011,"San Mateo County, California",467163,15305,11590,10555,1035,3715,451858,368064,336192,31872,83794
2011,"Alameda County, California",1012246,34270,26906,23826,3080,7364,977976,748106,671263,76843,229870
2011,"Contra Costa County, California",668335,29061,22204,19508,2696,6857,639274,493002,435601,57401,146272
2011,"Santa Clara County, California",1171551,31077,23990,20933,3057,7087,1140474,890140,802161,87979,250334
2012,"Anne Arundel County, Maryland",342420,36077,31115,29305,1810,4962,306343,249503,233864,15639,56840
2012,"Howard County, Maryland",190503,12347,11441,11058,383,906,178156,148041,141076,6965,30115
2012,"Prince George's County, Maryland",584527,43773,37188,34105,3083,6585,540754,444172,401606,42566,96582
2012,"Montgomery County, Maryland",635556,23353,19642,19052,590,3711,612203,512530,478733,33797,99673
2012,"District of Columbia, District of Columbia",447575,19088,13983,12979,1004,5105,428487,332798,297773,35025,95689
2012,"Calvert County, Maryland",56147,5134,3789,3678,111,1345,51013,40436,37437,2999,10577
2012,"Marin County, California",156580,5707,4363,3696,667,1344,150873,119549,111368,8181,31324
2012,"San Francisco County, California",599350,14268,9888,9234,654,4380,585082,466186,430639,35547,118896
